CG3358 CG1550
EBI-202016 RPL27
CG8965 CG6498
CG5380 CG2865
MED4 OME
CHOP24 ACT5C
CG2127 CG8942
CG17806 EBI-90335
CKS85A CG6191
CG3563 TANGO11
TEKTIN-A CG10508
CG7371 SMB
PEN EBI-199389
CG12811 CG11590
CG15472 CG12985
RAP2L LOCO
PTC EBI-156955
CG15800 ECR
CG17331 RPN1
KNI KR
YELLOW-G CG9572
CG31999 DOM
SLAM LVPH
CG8965 PHOL
SPN-F RPN2
EBI-157105 EBI-157105
CG34401 SGT
EBI-121415 MHCL
CG8814 CG14186
CG12379 CG10321
CG9986 SNAP25
PMS2 CG7430
CG10324 CG6340
CG17024 CG15425
DOCK CG13964
CG12470 CG8086
DSH NKD2
SPZ3 CG32105
SLAM RPS23
ORB2 DIMM
SNR1 RPS3A
CG14708 RPS7
MIRO KIF5B
EBI-163776 CG5214
CG9986 CG31746
CG8965 CG6216
FZ2 WNT2
BJ1 CG12723
EBI-175261 SZAR
CG8360 SDHB
CG7757 SRY-ALPHA
EBI-133084 CG14317
CG13045 CDC2RK
TGO SS
SMID MBO
CG8942 EBI-85123
CG15167 PK17E
CG31917 EBI-206607
CG12985 EBI-144629
CG13822 AGO
CG16812 CG12620
ESG EBI-116800
AEF1 CG15436
CG10132 MRP
MUB CG15634
CG12985 CG10535
CG13476 BSG25D
LOLAL TRL
CG11672 SCGALPHA
ERR CG5792
MMD CG14534
CG7967 EBI-84827
CG41099 EBI-163966
CG17265 CG13022
CG8128 CG6488
EXO84 CG31324
CG13811 RPS12
TBPH HPO
C-CUP EBI-114041
CG15865 CG13067
MER YRT
PMS2 OAT
EBI-128685 EBI-210979
CG10144 DCP1
PMS2 CORA
EBI-196643 HALE
CG8292 RAPS
PIM CG4802
CG5933 CG10650
CG17331 CG4328
CG7173 RPS12
CG12256 PDP
DAP EBI-187683
EBI-198251 CG5112
TSG101 EBI-130432
MAT89BB CG12721
REV7 CG10032
CG3056 CG12540
SPN-B EBI-223492
CG1999 CG13806
CG17666 CG15032
CG12116 CG31150
CG12470 CG4286
CG6843 RPS3A
CG8965 CG10543
NTF-2 CG2199
FHOS TRAF3
MNB DLL
CG7135 SNA
CG6950 RACK1
EBI-90739 EBI-148517
CPR76BA CG10650
CG8128 DWG
CG13245 CG9706
EBI-184732 MBO
BARR IAL
NURF-38 CG2046
NC2ALPHA GAPDH2
CG10237 EBI-125283
CG17568 EBI-144341
CG3492 EBI-122840
CKIIALPHA DAH
SIDE CDC2RK
FU CG4577
CYCC CG17265
RHOGAP92B DX
CG15634 EBI-196039
EBI-160257 CG13806
CG4835 TFIIB
CG11266 CG8273
NOMPB CG12645
CG7945 CPR72EA
CG14302 EBI-108714
CG12379 CG13025
CG12452 CG4681
MR CG4617
CG11362 ENA
CG9014 CG5220
PNG KAP3
CG6707 EBI-162907
PPL DBI
CG12811 CG18731
POLO CHINMO
LOQS HSP60B
ZPR1 ROC1A
EBI-113289 SOX21B
CG17331 PROS25
CG6196 ACON
CG15524 CG14625
CG6843 CG6843
CUL-2 CG31116
GT PK17E
CG11327 EBI-185330
CG15440 RPS30
SEC5 THR
MIP130 LIN-52
EBI-208011 EBI-182205
PAR-1 WDB
CG11881 EBI-90080
EBI-99044 BT
EBI-127250 APT
SIRT4 ENA
MOD(MDG4) LDS
CG5144 EBI-182166
CG32810 GRASP65
DLG1 GUKH
CG10694 CG17162
CG9083 IP3K2
NOMPB CG13512
CG7911 JBUG
CG9577 CG9577
CG14543 HLH4C
TOS CG3213
CG31708 CG14869
UBI-P5E CG14545
RPA2 CG14534
PLI OGRE
CG14864 CG14546
CDC27 SFL
CG15443 EIF-5A
CG5038 CG11526
CG7860 RPS29
TAF13 TAF11
CG4073 TEH2
MCM2 DPA
SIRT4 TSG
RPS26 CG3880
CSN5 MAD2
MEI-P22 CG8128
RAB6 VHA100-2
CG7196 CG11164
RH2 CG5604
CG6776 CHER
EBI-96930 CHIP
CG15533 CG12609
HRS CHER
CG3605 EBI-179816
EBI-221089 KAP-ALPHA3
PKC98E CG12645
CG10032 RPL17
CG33692 DANR
EBI-209714 DRONGO
FD59A CG13367
AKT1 CG11138
EBI-272068 CG4036
CG13510 IMPL3
CG15634 CG13458
ALPHACOP CG8942
CG13045 CG3056
ELFLESS EFF
TIF-IA CG9007
MLE CG17478
CG9083 EBI-115672
CG11166 EBI-1630112
RHOGAP68F CG18745
EXO70 MTOR
CG3335 RPL12
CG3295 CG9426
E5 CG3708
CG1553 FLW
SRC64B BETATUB56D
CG32100 HLH4C
CI CG12785
RPS3 ATG5
EBI-161016 CG6766
ALY CG18259
CG9192 CG11164
PTC EBI-75206
CG32809 EBI-204491
CG33980 TRIM9
PP2A-29B WDB
EBI-98305 TGO
FAN OSBP
CG5968 DAP
CG9797 CG4617
CG6353 CG11164
EBI-150380 MEI-S332
LIMK1 CG15631
CG9522 CG32201
CPR64AD EBI-161985
RAC1 PP2A-29B
CG9213 CG3294
CG10478 EBI-168011
CG9986 CG3927
CG31550 EBI-115599
CG15308 CPR62BB
VHA100-2 EBI-163424
GSC CG17666
CG14216 CG11695
SO C15
CG32425 CG15032
CG9014 LVPH
EBI-199389 GCL
CG18619 EBI-117534
CG10981 CG12589
CG9130 EBI-84573
RAD23 GL
EN CG4617
CG41099 CG8965
CG14204 CG10032
CG8942 EBI-146264
CG33967 EBI-108621
HLHM3 ATO
CG1969 CG1969
CG13373 CG11138
EBI-196643 CG31759
CI DBR
STRN-MLCK MAPK-AK2
CG18375 STAM
EBI-205042 SZAR
CG11656 AP-1GAMMA
MRPL38 CHI
EBI-85713 CG8813
STAR1 EBI-162173
L(2)K16918 HN
CG34410 CPR64AD
EBI-497141 CG7470
CG3085 EBI-153666
EBI-219164 CG7386
ORB2 CG12723
CKIIALPHA TOP2
CPR100A TRAF1
X11LBETA ROBO3
CLK PER
CG15529 MIT(1)15
CG17829 PGD
DSH MICAL
SZAR MRPL3
TSC1 DNT
CG8128 DOA
MRPL38 CG2852
GEM AMY-D
SNAP DOA
D19A CG15032
CG18745 CG7597
CG14696 PHYL
CG13913 DPLD
AGO CG12054
EBI-142929 EBI-182405
MRE11 CG14322
YELLOW-G CYPE
P115 CG3294
EBI-113289 CSK
CG7352 SNR1
HSP67BA RAD9
CG32635 CG3571
EBI-101869 CG17666
MUS304 EBI-162459
CCP84AD CHIC
HSP60B KIN17
CG10882 CG5798
CG11327 CG7409
CG14739 CG15631
CG16717 CG13097
CG32581 CA-P60A
TANGO6 FD64A
ENA PTP10D
BETAGGT-II CG10627
CG3995 CG3995
CG3610 CG2774
CG13671 CP15
XBP1 NEP2
CG31482 SK2
CPR92F NRT
EBI-143525 CG10654
CG9797 CG1792
CG9666 CG3056
EBI-181429 RPL23
CG7264 CG2182
GPRS SCRIB
ODA CG12496
KARYBETA3 CG3056
TRUS TUP
MED19 EBI-172258
GABA-B-R2 TRAF3
RPS29 TEQUILA
CP36 EBI-142836
CG17778 CG6398
ALPHA-SPEC KST
CG13733 RPL23
RPS27A PUF68
YELLOW-G CG8813
JBUG ALDH
CG2709 CG31053
CG7146 RPL15
CG9797 PK17E
P53 EBI-123443
CG11454 CG9740
CG14053 NCM
CG8966 CG8159
CG10154 CG10221
CG18217 EBI-164534
WNTD CG17666
CG2926 TRAF3
HSP22 APT
CG33275 CG11076
CG9572 EBI-197099
LMPT CG12106
EBI-150610 RPL18A
C901 CG8036
EBI-191255 NIPPED-B
CG31163 ENA
CG13045 CG31673
CG13022 ROGDI
EBI-141485 RPS29
CG14153 CG17556
CG12432 CG9083
GM130 VM26AB
CG4537 CG8931
MTNB JAFRAC1
CG17666 GRASP65
CDLC2 CG15753
EBI-203651 CG8539
DEBB CG6610
D19A CG15436
CG8191 EBI-179939
CG1324 CG12822
CG1324 CKIIALPHA-I3
EBI-176762 RPS26
EBI-174007 PGD
SPIR EBI-75958
SPI EBI-149916
CG9986 CG34391
TIG NUCB1
CG6660 PK17E
CG14235 HSP83
MRPL3 ALPHA-SPEC
EBI-111518 EBI-181728
SINA CG5104
CG13671 CG13077
CLP RFESP
IRP-1A CG4468
CG4887 CG5468
CG11881 Z
CG6833 CG4854
CG7928 CG8319
CRN CG14815
CG17599 CG5053
MNB CG14619
CG5467 CG6770
BNL BTL
ARU CG6040
CG13627 EBI-82680
EBI-106803 CG6020
CG5846 CG3975
CG7191 CG32736
EBI-98834 VPS20
CG31694 CG6543
ODC2 CG12116
HALE ODD
GRASP65 LBL
TSP EBI-94564
SALA CG10750
EBI-184213 CHER
CG4302 CG8773
FANCL SOL
SPN-A BLW
CG11566 EBI-122233
CG4325 VM26AB
RPL9 SINA
NPC1B BOWL
CG10566 STA
CG4998 TRAL
CG4810 URO
EFF EBI-91747
CG5380 BRK
EIG71EC EBI-151216
TAF1 HIS1:CG31617
RB CG15631
EBI-161016 EBI-209001
PLL TRAF1
CG6745 CG12645
MOE CHINMO
ARP11 PK17E
PROS45 CG4980
CG5674 ODD
CG33980 CG17377
CG31482 CG32365
EBI-458558 SOX21B
EBI-458558 CG8128
CG15561 MAB-2
MST89B OSI15
EBI-183080 SK2
CG15737 CG2116
EBI-147527 CG14818
CG4168 ART6
CG11566 CG9392
CYP9F2 RACK1
CI EBI-184456
SCP2 MES2
CG13526 EBI-85713
HLHMDELTA GRO
STY EBI-168011
CG8455 TRAF3
GRASP65 CG9894
EXO70 CG4447
EBI-166770 EBI-198595
EBI-88363 CG9850
ASF1 EBI-185028
HKB CG3708
EBI-128409 EBI-100337
HLHMGAMMA SC
CG6163 EBI-179816
I-T CG31457
PI3K21B CG1137
MER CG4936
CV-C CG7945
SUR-8 CI
CG40127 CG7231
CG10559 EBI-195890
GRASP65 CG33123
TCTP EBI-149983
EBI-161602 PATJ
CV-C RPS8
EBI-185028 MORGUE
LCP2 CG6181
PTTH CG11896
CG1138 NUDE
CG4213 BIP2
CI BTBVII
CORTO CORTO
CG31550 CG11063
MRPS17 CG4617
BEAT-IIA MNT
CG17450 EBI-143999
CG1635 RPL35A
INVADOLYSIN CG10575
EBI-145018 CG31184
EBI-208011 CG12589
EBI-200614 EBI-198400
INVADOLYSIN CG13826
REV7 EBI-466537
SOX21B CG17666
CG31342 SRC42A
CG10694 PROS54
EBI-207496 CG15631
KP78B CAS
CG1104 EBI-458558
CG7173 CG7655
CPB EBI-125429
ODA WNT5
CG1894 EIF-4A
CG11275 CG5466
RUX BCD
FS(2)LTOPP43 CG3281
CG9121 CP15
CG9797 EBI-128425
LOK RAPS
CG14506 PAT1
PNG CYCE
NORPA BALL
CG7757 CG3342
CG5325 CG31211
CG8128 CG17024
EBI-146492 CG17666
NOMPB CG13900
D19A WEK
EBI-102987 CG14351
CG7387 CG15365
PLI CG6175
CG9170 EF2B
CG8368 ARF79F
EBI-177531 CG18081
GRASP65 CG8292
TANGO2 EBI-156272
PP1-87B CG3825
CPR66CB CG3800
CG8128 REV7
HRB98DE KARYBETA3
FKH CG9572
CG5612 CAP-H2
MST89B EBI-213208
D19A EBI-137286
EBI-195768 RPL23
EBI-1628353 D4
EBI-131459 RPS26
CG17153 CG11164
CG3610 RFC3
DLT NRX-IV
CG2865 EBI-123711
EBI-190238 CG10068
CDK5 CYCC
EBI-125769 CG5355
CG9986 UGT36BA
PEP EBI-163004
ZF30C UBX
CG3075 CG3056
EBI-92995 CG1135
CG9797 RPL4
EBI-128171 CG7323
CG3610 CG30291
POXM CG15456
SRY-ALPHA CG14722
HTL EBI-88738
CG4101 CG14546
EBI-109477 CG5127
CG18754 EBI-458616
CG9986 CG5288
PTC CG12116
MER MOE
ROLS CG17721
CG3610 CG3342
CG9511 EBI-192122
MED6 CG10098
CG7381 CG17777
TANGO12 WOC
TJ CG17666
CG7379 CG9066
DIMM CG32486
EBI-170625 MTNA
KLC ATTB
EBI-200992 CPR72EA
CG30327 JHEBP29
CV-C HN
CG6380 CG13043
SRC64B SOCS36E
TANGO6 CG32191
CG3085 CG33095
CG10494 CG4820
CCP84AB CG15422
EBI-183080 CG12470
CG12116 AXS
CG6416 CG18745
EBI-151216 HSC70-4
CG10971 CG18292
RDX RPS3
CG31291 CG17265
MST84DA EBI-196425
DRONGO EBI-178079
CG5703 DA
APC2 AXN
NBS MPCP
CG16899 CG16899
CG13811 EBI-195439
STAR1 CG7656
CG4835 EBI-197099
GRP ENA
EBI-129513 EBI-198744
CG9890 CG11076
CG3081 CG9173
CG3880 OSCP
EBI-206481 EBI-183763
CG14820 CG5392
CG14546 CG2712
TOM70 CG32105
CG8927 CG31012
EBI-140532 CG9248
CG17107 GIIISPLA2
RPS19B EBI-104392
EBI-110594 CG32226
CG14044 CG12985
QKR58E-1 EBI-196108
CG9902 CG15526
RALA CG30115
CG13476 MBO
ERCC1 MUS201
CG12081 PEBIII
RHOGAP68F HEPH
CG3918 ATG8A
AGO HSC70-4
CG11889 EBI-93850
CG13299 CG5346
CG15578 CHI
CPB BSF
CG34410 CG17666
EBI-114041 CYP1
SOX21B CG8942
CG8349 EBI-197099
EBI-90739 CG32392
CG12607 HALE
EBI-136768 EBI-86506
CG13030 EBI-98108
OATP74D MTP
CACT DIF
POXM EBI-157400
EGFR GRK
EBI-219164 CG7757
EBI-93397 MUS101
BIN1 E(Z)
PP1-13C L(1)19EC
CG4554 CG14410
TIM BI
HBS1 CG9541
EBI-125769 SCAMP
CG33275 EBI-106341
BY CKIIALPHA-I3
CG7352 CG5053
CG14506 ART9
CG15440 CG5641
EBI-193391 CG15422
ZF30C CG17018
RAB11 CG11076
SINA CG12470
CG8965 EBI-157547
EBI-170625 RPL18A
HRP59 EBI-93918
PH-P CORTO
CG8128 RABX5
EBI-230517 CG14625
SR-CI CG6688
EBI-222860 CPR72EA
CG6607 CG6607
THOC7 DNAPOL-EPSILON
GSC CG11148
EBI-200752 NPLP1
CG9392 CG5017
CG3056 ROP
CG14122 CG6218
CG13617 BHR
CG3918 CG31211
SPOCK EBI-235994
CG31029 CG3342
CG4617 CG6954
CG4570 CG8813
EBI-85123 EBI-121063
CG4300 CG14073
SRY-ALPHA L(1)G0003
CG9796 CG9007
SRC64B TANKYRASE
CG13510 POXM
MRE11 MSP-300
NACP60E CG32138
MLH1 KLP3A
TSC1 CG15365
MLP84B CG41099
EBI-74966 CG9588
RDX EBI-208662
CG7800 ARU
CG34376 CG17567
E2F2 HEPH
MSI MUB
CG7488 TRAF2
EBI-164534 EBI-115136
CG1894 CG31549
CG4887 EBI-153383
D19A EBI-179816
TSG101 ACTN
SOX21B TSP
RAPS CG6905
CG16728 DIP2
EBI-2109280 TREH
CG17824 CG10154
E2F2 EBI-140532
CG31958 CG15459
EBI-137434 CG33932
MER CG2926
SNR1 TRA
EBI-102987 HEL25E
SIRT4 RAB5
CG11656 L(2)35DF
EBI-497141 BETATUB56D
CG32086 EBI-208011
EBI-101527 CG11526
CG13996 RPL22
H2.0 YL
CG5516 EBI-168948
CG14380 TIM9A
CG6833 CG11188
CG1894 LOQS
EBI-188413 CG9083
TRAF3 CG11178
TFIIA-L CG4617
FD64A YL-1
DL PKA-C1
CG15646 RPS17
DRONGO CG8783
7B2 AMON
CG11539 CALX
CG32169 CG13373
EBI-201281 HSP23
CG9510 CG2199
ATF-2 RPS8
CG14204 Z
CG32685 SA
CG4911 SKPA
PHM CG10589
CCP84AB CG13047
CG17134 SU(FU)
CG13075 CG13482
EBI-208011 CG4925
EBI-147527 CG1837
CG4330 DEAF1
RDX EBI-90335
SPN-B CG30169
CG41099 EBI-151216
EXO84 ALPHA-SPEC
CG11347 EBI-163004
CG34410 SPT5
REV7 ENA
EBI-208662 CRN
TAF12 CG6543
HEL25E CG2199
CG1091 SMN
CG6416 EBI-108621
EBI-125339 CG5862
CG13379 CG2865
TRAF3 CG15514
RAB6 CG10703
TRIP1 DFD
TEKTIN-C NLAZ
CG17265 EBI-161439
GADD45 CG7172
RHOGAP68F CENG1A
EBI-146492 MST84DD
BETAGGT-II CG3891
CG5933 EBI-161439
PTC GC
CHI PNR
UMBREA CG14183
CG9754 CG10743
PROSALPHA7 PROS35
CG11201 CG9902
CDK5 PHDP
SKPC CG14317
CG3078 CYCB
CG1239 CG6833
E(R) MRPS26
CG5111 CG5537
CG13030 EBI-130802
ART9 RPL23
FD64A WDB
MOD(MDG4) KRZ
CG5640 CG17068
BL HRB87F
PP1-87B MARS
EBI-195768 TKO
EBI-169919 CG10263
CAP CG10478
PEN L(2)05714
CG1461 SNR1
RHOGAP92B RPL4
DANR EBI-156955
CI KLP98A
EBI-193871 CG11381
CDK5 CYCG
SCPR-B OHO23B
CG3918 EF1ALPHA48D
CG13510 CG6199
ELONGIN-B ELONGIN-C
CG9796 CG10237
EBI-141907 EBI-204491
FLW CG31457
DAP160 EBI-190531
CG14044 CG15370
CG11347 RPL7A
CG9083 EBI-90277
CG13139 EIF-2BETA
FER1HCH HN
POXM CG32016
CG14436 CYP316A1
ZORMIN STIL
LIG4 CHINMO
EBI-199701 ROGDI
CG13049 CG2116
STCK THIOLASE
SURF4 EBI-142929
EBI-458558 ASATOR
MNB KNI
SPI PROSAP
RPA2 CYCE
CG32392 CG9911
CG14216 CG1745
CG13245 TRAF2
FD59A AUST
PTC CENG1A
CI NOI
ES2 CG18012
CG7379 CG4068
CG9797 BETATUB56D
CG34410 L(2)37CC
CG6905 CG14005
CG18649 CG4617
CG7056 RHOGDI
DOA DIMM
CG17233 CG12655
CG14168 CG4865
AP-50 RPL22
CG18259 ARU
L(2)37CG CG13957
PAK CG17508
CG9117 SOP
CG17260 CG18341
INVADOLYSIN TANKYRASE
CG11248 PHDP
CG14534 EBI-228648
CYCK CG8924
CG3081 TRAF3
EBI-160861 BRK
CG10306 CG5642
EBI TTK
CG10189 STUMPS
CUL-2 CG12432
L(2)37CE BETATUB60D
ES2 P115
DOA CG31211
EXOSC2 DIS3
CDK5 CYCJ
EBI-174207 CG12995
CG15580 EBI-200614
AXN TWS
CM EBI-261109
PIF1A CG2709
CG4323 CG6985
EBI-147266 CG12011
CG5731 CG12393
CG8128 TRAF3
RAD51D SHI
SUCB SU(DX)
CG8478 PIF1A
EBI-172583 SYX16
CDC2C CG17508
EPS-15 STUMPS
CG8997 LARK
ECO DIP1
MED10 CG18284
SEC5 SRY-ALPHA
CG17826 RPL18A
CG11566 CG9083
CG14282 EBI-132050
CG6353 SMB
CG9253 LAP
TSG101 CG11248
CYCK EBI-140532
AND CG2225
CG14410 TCTP
CI BOTV
CG11489 PLAP
ZFRP8 CG13887
EBI-88763 CDLC2
CG18624 CG5114
DANR MIT(1)15
MAD REV1
CG6416 CG5731
CG6416 PP1ALPHA-96A
KO CTP
CG13625 CG9541
EBI-113289 CG5731
CG16972 DNAJ-1
EBI-182205 RAD50
CG8578 CG8578
SAK CG5731
UBCD2 CG4747
CG6808 CG6921
CKIIALPHA-I3 CG32428
NOI CG9426
MLH1 CG13917
CG14961 EBI-190547
CG31792 CYCB3
FLW CG2608
RPA2 CG3925
EBI-206481 BARR
CG5623 RPLP1
CG10219 EBI-131642
CYCC CG4546
MYO10A CG12400
KTO CYCC
REV7 REV1
EBI-199603 CG1646
SAK PHDP
HP1E CG4407
CG14634 MED
RPA2 CG11963
CYCK CTA
EBI-83408 SRY-ALPHA
FU SAP-R
TJ EBI-128425
EBI-167768 CG18745
EBI-112757 GRANNY-SMITH
CG10262 CDC2RK
CG3911 RPS5A
CG9797 ECO
MIRO INX7
EBI-85838 RPL7A
OFS CG14563
PTC CG18262
STAR1 CG14416
EBI-132366 EXU
CG13090 SOL
CYCJ CG12723
XBP1 CG6770
CG5359 CG34349
SNR1 MCR
EBI-197069 RPS29
FS(1)K10 HRB27C
CYP9F2 CG9752
ALPH PAN
SEC10 CG31156
SMOX BAP60
E5 CG9850
LVPD PAR-1
TUN CG31546
GRO M6
CG17510 CG10263
SIRT4 EBI-103820
LCP1 CG14224
CDC2 EBI-522090
CG7080 CG15422
HSP60B CG7200
CG4896 YP1
CG15561 EBI-113827
CG7046 MLP84B
CG8228 SYX16
CG14540 CG32581
EBI-202016 CG17567
POLO ACF1
CG6934 FAX
CG12272 CG31029
FIT1 CG13700
MLH1 EBI-501095
CG31999 EBI-141739
E2F2 C15
MER WOC
CG15249 CG31033
DDC EBI-121063
EBI-111518 EBI-161439
ARU CG3213
CG13840 MRPL39
CG15356 CHRO
ARU EBI-138946
MAD REV7
CG7231 GLYP
CG6904 CG17162
FS(2)KET KAP-ALPHA3
OFS HALE
CG31550 EBI-151243
RBP9 LYSD
CG4893 POLO
EBI-198120 SAP-R
CG15482 TOC
GRK DLC90F
SALA SGT
P130CAS GOLGIN84
EBI-170625 CG34422
CDC2C CYCE
CHIP CG31036
PP1-87B SPINDLY
CG32584 CG15087
MCM2 MCM7
CDC2 EBI-187683
CG11138 CG10527
CG4078 DFD
CG4877 THOR
CG10344 CG12012
EBI-167209 CG17564
CG17107 CG6036
ODA CG4617
EBI-85838 RHOBTB
REV7 CG12723
PTC TFIIB
TFIIA-S-2 TFIIA-L
CG3918 CG11164
CG8368 CG18735
CG12393 NEOS
CG12124 EBI-177882
CG3448 RCA1
CG10882 CG13067
GRP CG5708
EBI-160257 PP1-87B
CG1635 CG1638
CG15152 SGT
FRQ2 EBI-103524
ENOK CG31211
EBI-159623 RACK1
CG34401 CG13700
E(SPL) SC
CHIP QKR58E-3
PMS2 CG17826
NEJ ENA
DNAPOL-IOTA WDB
COMR CG33713
PTC EBI-131642
KLP3A CG13512
SIR2 EBI-102727
L(2)03709 CG6404
GEM PK17E
CG12432 LANB1
XBP1 CG8108
CG3099 CG12393
EBI-88363 EBI-102305
EBI-75953 E2F2
CG32016 RTNL1
CG13502 CAP-D2
CSW MSK
EBI-172635 CG3294
CG2713 EBI-157064
EBI-137887 U2AF38
LIG4 BTBVII
CG11286 CG13806
CG9986 CG2022
CG10083 CAMKII
CG5792 CG7597
BSH CBL
CG14829 ATPSYN-B
CG9511 CG2604
ANCE-2 EBI-117534
CP38 AP-50
CG3557 CG9911
EFF SLMB
REG CG10510
CG15772 TIM9A
CG11275 EBI-190547
CG2678 CG18646
PHYL PUF68
CG10721 CG4293
CG17744 CG13476
VND D1
TOS SOL
CG13838 CG12299
CG8145 HLH4C
BSK HSP70AB
NCA CG7900
CG4813 CG33129
ADK3 PAR-1
CG6873 ACT88F
HRS TRIO
CAP CG13476
CG14546 MEI-P22
SZAR CG11489
CDC14 CG14816
CG13913 SMG
CG5050 HLH4C
CG4893 RPS3
BIP1 RPS8
CACTIN RPL23
CG15690 HALE
ALPHA-EST7 EBI-197099
CG32100 CG13458
CDK5 CYCE
BRD8 CG7239
CG12256 RPS12
ROBL62A EBI-106803
RECQ4 EPS-15
UBX TFIIEBETA
EBI-174207 NIPPED-B
CG3528 EBI-131642
MAD2 HSC70-4
CG12849 CG14207
TERM CG4328
MSI VHA68-1
CG15170 CG33980
CG9784 CG1218
EBI-99546 PP2B-14D
CG13811 AP-50
MIP130 E2F2
SYX4 BETACOP
UBP64E CG7484
EBI-183763 KRZ
CG14317 CG5380
AUR EBI-522090
CG13840 CG12496
CG7974 CG11164
CG5783 CG12432
PAK CG5968
ALD CYCK
CG9911 EBI-192791
KATANIN-60 UBP64E
JUPITER DEI
CG3308 CG8206
TSH NHP2
CDC2RK CDC2RK
C(3)G EBI-161439
PTC CG4738
EBI-180984 BCD
SU(FU) MBD-R2
CG6683 CG6683
CLIP-190 LVA
SIRT2 CPR64AA
BIF MSN
CG6380 CG11164
AGO CG2165
ROLS EBI-172291
ELFLESS CG9609
EBI-195768 CG32446
CG5068 RPL36
CG15308 CG4293
THOC7 CG32809
USP7 EBI-196732
CG15638 CG14354
EBI-168011 CG8942
FAL DNK
CG8228 EBI-85838
EBI-195768 EF2B
RAB6 EBI-105177
EBI-183485 HOP
CG5866 PLEXA
CG8965 CG6905
USF CORTO
CG11672 UEV1A
MUS304 CG1631
CG3085 ND75
MLH1 ZF30C
EBI-115928 BETAGGT-II
CG13138 MUD
EBI-138643 CG10254
DA HLH3B
RFC3 CG12470
SUCB CG6181
CG15443 RPS3A
VHA44 CG15177
N SYND
EBI-83408 CG15459
EBI-183849 CG14534
CG14641 EBI-151216
PKC98E ATG5
EBI-167768 CG14683
CG14071 CG17778
EBI-114041 CHIC
CHEB93A CG5292
ETS97D PHYL
PRM CG7357
CG2107 CG1246
CG32772 CG9302
SNA CTBP
CG6654 GRAU
CPR73D EBI-190547
BRM OSA
ENT1 CG3303
PP1-87B CG32264
CG17829 CG2120
CG7548 PIE
CG9511 CG15737
CG8128 KAP3
CG7146 EBI-114906
CP38 TSP86D
CG13138 CG11314
CG6576 HEX-A
CG16721 EBI-149916
HLHM3 HLHM3
EBI-190547 RPS3
AGO CTP
Z DALAO
CKIALPHA CG14907
EBI-183535 CPR73D
CG1958 HLH4C
EBI-133084 EBI-458558
EBI-300331 EBI-300331
PTC CG4537
TTK A
GYC-89DB CG17666
CG32226 TJ
EBI-138930 EBI-121063
TRX PP1-13C
LIM3 CG12496
CG6904 CG13996
DRK CG4328
CG12393 CG30044
CG17829 EBI-199603
CG12985 RPS17
NOI EBI-130549
SEC5 RALA
CG4936 CG2712
EBI-161439 CKIIALPHA-I3
PON BAZ
EBI-89655 CG16791
CG32016 TRN
CG15685 CG5026
CG15266 L(3)01239
ROLS ZEN
NEOS CG4747
CG8173 EBI-130802
CYCH CG5003
CG5569 CG12010
EBI-140299 CG10214
DOA RANBP21
PP1-87B CG15440
CG3891 CG4287
RAPS BX42
CG15529 C15
SMB BETACOP
PUF68 CG5376
JRA KAY
UFD1-LIKE CG14606
OKR CG33129
MCM5 STAM
CG3939 RPL35
CG12393 ANTP
TEKTIN-A CG17666
CG9016 EBI-168011
CG32425 TRAF3
SRP68 CG18135
EBI-198400 CG14542
CG6576 CG17153
SLAM CYT-C-P
EBI-160257 CG11486
EBI-185330 TRAF3
CG12256 EBI-188725
EBI-183485 MAD
CG3099 RPS3A
CYCE RBF
CRTP CG13030
CG11322 RPS7
CG15141 ODD
ALPHA-CATENIN-RELATED EBI-173665
EBI-458558 ECR
TSG101 MSP-300
CG7757 CG7131
DNAJ-1 CG13405
EBI-276605 SGT
BY SOX15
RTGEF GRAF
EBI-199701 CG17127
CENG1A GRP
CG9465 CYCB
CG11581 CG11077
CDC14 CG5731
CG12766 CG15611
CAS CG33980
EBI-109399 DPN
CG14860 CG4747
ATG1 MED15
EBI-149231 TRAF3
CHIP EBI-200614
EBI-176762 SOL
RECQ4 BTBVII
CG11489 HP1B
CG7514 CG17153
TRUS CG15631
CG11266 MTS
GOS28 CG14084
CG5315 MES4
PP1-87B CG31025
CG11286 LIP3
CG7987 CG6543
CG8292 EBI-231659
CCP84AF CG9925
CG4813 CG14297
DLG1 FAS2
CG16728 APT
CG13840 EBI-104725
HBN CG9572
MED28 CG8750
CG7656 CG7375
EBI-85713 SEC61ALPHA
EBI-127547 CG13700
PVF1 CG30409
EBI-203567 CG4887
EBI-101527 FUS
CG14632 GRIP128
EBI-191552 CG2698
MAD CG4673
CG3891 LHR
CG8831 CG5516
SPN-A MESR4
TRIM9 STCK
PMS2 CG1135
CAM INAD
AUB CG3085
CG7231 RPS3A
CG32016 MAB-2
VND L(1)G0156
CG15690 CG17086
CG8128 CTCF
AGO DF31
TRUS TRAF3
ALD CG6191
CG5555 CG6333
CG5149 EIF-5A
CG3560 CG8907
CG4820 FUR2
CG8680 EBI-238554
CACTIN CG10654
EBI-98305 EBI-178079
CPR64AD L(2)06496
CG10510 EBI-110745
CG8281 CG8281
EBI-146492 HSP23
CG4865 EBI-84140
D19A TRAF3
EBI-106701 EBI-147715
OX CG4835
EBI-530681 FS(1)H
EBI-196643 CG4328
EBI-161439 CG3342
EBI-83408 RPL14
CG5846 MAV
FANCL CG40127
EBI-145169 MBO
SFMBT CG33275
